City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tiksi,71.6872,128.8694,-29.29,85,100,6.42,RU,1611028119
Ambon City,-3.6954,128.1814,91.4,62,20,5.75,ID,1611028119
Rikitea,-23.1203,-134.9692,78.3,72,28,13.44,PF,1611028119
Muros,42.7762,-9.0603,45.0,96,12,1.99,ES,1611028119
Bluff,-46.6,168.3333,60.01,54,70,21.0,NZ,1611028120
Ribeira Grande,38.5167,-28.7,62.19,77,100,24.14,PT,1611028120
Provideniya,64.3833,-173.3,-5.8,71,75,11.18,RU,1611028120
Ushuaia,-54.8,-68.3,50.0,76,20,3.31,AR,1611027966
Arraial do Cabo,-22.9661,-42.0278,75.24,87,0,22.1,BR,1611028120
Pevek,69.7008,170.3133,-28.41,86,100,6.82,RU,1611028120
Qaanaaq,77.484,-69.3632,3.45,81,46,7.67,GL,1611028120
Levice,48.2156,18.6071,32.0,93,95,1.01,SK,1611028120
George Town,5.4112,100.3354,82.99,65,40,4.61,MY,1611028120
Bathsheba,13.2167,-59.5167,78.8,78,75,20.71,BB,1611028120
Barrow,71.2906,-156.7887,-2.2,71,40,18.41,US,1611028120
Bredasdorp,-34.5322,20.0403,64.4,88,98,4.61,ZA,1611028120
Busselton,-33.65,115.3333,93.99,24,7,11.99,AU,1611028120
Sarāhan,31.5167,77.8,42.85,45,0,5.3,IN,1611028120
Haines Junction,60.7522,-137.5108,33.8,100,100,5.75,CA,1611028120
Palmer,42.1584,-72.3287,30.2,55,20,8.05,US,1611028120
Ponta do Sol,32.6667,-17.1,57.0,65,88,1.99,PT,1611028121
Souillac,-20.5167,57.5167,78.8,94,40,10.36,MU,1611028121
Mataura,-46.1927,168.8643,60.01,54,50,21.0,NZ,1611028121
Kamina,-8.7386,24.9906,64.72,94,100,3.89,CD,1611028121
Punta Arenas,-53.15,-70.9167,50.0,76,0,9.22,CL,1611028121
Black River,18.0264,-77.8487,77.0,65,20,4.61,JM,1611028121
Inhambane,-23.865,35.3833,78.33,84,100,14.58,MZ,1611028121
Peleduy,59.6289,112.7406,-12.19,87,100,1.9,RU,1611028121
Cumpas,29.9833,-109.7833,56.34,35,0,4.21,MX,1611028121
New Norfolk,-42.7826,147.0587,66.99,31,66,3.0,AU,1611028121
Shimoda,34.6667,138.95,46.4,57,75,12.66,JP,1611028121
Thompson,55.7435,-97.8558,-7.6,84,90,3.44,CA,1611028121
Comal,29.8169,-98.3003,64.0,88,1,7.0,US,1611028121
Bahía Honda,22.9036,-83.1592,67.53,82,24,9.08,CU,1611028121
Jatai,-17.8814,-51.7144,68.38,94,100,2.55,BR,1611028121
Castro,-24.7911,-50.0119,64.45,98,100,7.87,BR,1611028121
Leningradskiy,69.3833,178.4167,-20.36,84,100,13.51,RU,1611028121
Andenes,69.3143,16.1194,30.2,80,64,12.66,NO,1611028122
Nanfeng,23.7434,111.7959,69.66,23,0,2.39,CN,1611028122
Butaritari,3.0707,172.7902,81.39,81,59,17.98,KI,1611028122
Geraldton,-28.7667,114.6,86.0,62,1,18.41,AU,1611028122
Vardø,70.3705,31.1107,23.0,74,75,11.5,NO,1611028122
Bac Lieu,9.285,105.7244,80.04,56,100,5.82,VN,1611028122
Port Lincoln,-34.7333,135.8667,68.16,60,9,12.91,AU,1611028122
Hong Kong,22.2855,114.1577,64.0,52,0,1.01,HK,1611028029
Selty,57.3132,52.1345,-7.92,89,100,3.06,RU,1611028122
Albany,42.6001,-73.9662,30.0,70,14,6.38,US,1611028103
Addanki,15.8167,79.9833,76.23,73,81,4.85,IN,1611028122
Tabuk,17.4189,121.4443,70.43,89,100,8.1,PH,1611028122
Bethel,41.3712,-73.414,33.01,59,1,5.75,US,1611028122
Kavaratti,10.5669,72.642,81.28,73,0,5.77,IN,1611028122
Saint Paul Harbor,57.79,-152.4072,37.4,60,75,17.27,US,1611028122
Margate,51.3813,1.3862,48.0,85,100,8.99,GB,1611028123
Mar del Plata,-38.0023,-57.5575,72.0,60,0,5.75,AR,1611027941
Tautira,-17.7333,-149.15,86.0,62,40,5.75,PF,1611028123
Nanortalik,60.1432,-45.2371,28.17,84,100,8.03,GL,1611028123
Nikolskoye,59.7035,30.7861,21.2,86,90,2.24,RU,1611028123
Cayenne,4.9333,-52.3333,78.8,83,75,4.61,GF,1611028123
Bambous Virieux,-20.3428,57.7575,81.0,94,40,10.36,MU,1611028123
Lavrentiya,65.5833,-171.0,-11.42,85,99,8.03,RU,1611028123
Daru,-9.0763,143.2092,87.55,63,100,7.25,PG,1611028123
Hermanus,-34.4187,19.2345,64.0,90,73,3.24,ZA,1611028123
Khor,47.8861,134.9464,-9.24,83,60,16.06,RU,1611028123
Dongkan,33.9997,119.8308,47.84,56,0,14.0,CN,1611027979
Nizhniy Kuranakh,58.8353,125.4869,-27.6,79,15,2.42,RU,1611028123
Pacific Grove,36.6177,-121.9166,57.99,41,1,9.22,US,1611027828
Coquimbo,-29.9533,-71.3436,57.2,88,0,5.75,CL,1611028014
Baker City,44.7749,-117.8344,33.8,60,1,12.66,US,1611028123
Sitka,57.0531,-135.33,46.4,81,90,26.46,US,1611028124
Kuril'sk,45.2333,147.8833,23.14,89,100,21.74,RU,1611028124
Clyde River,70.4692,-68.5914,-7.6,84,90,6.91,CA,1611028124
Ferrandina,40.5012,16.4547,37.4,93,0,9.22,IT,1611028124
Gizo Government Station,-8.103,156.8419,86.32,68,71,10.76,SB,1611028124
Tefé,-3.3542,-64.7114,77.0,94,75,6.91,BR,1611028124
Vaini,-21.2,-175.2,86.0,74,75,10.36,TO,1611028124
Mossamedes,-15.1961,12.1522,71.37,71,100,3.51,AO,1611028124
Līsakovsk,52.5369,62.4936,-0.76,91,100,8.39,KZ,1611028124
